idx,o,d,hour,o_h3,d_h3,o_x,o_y,d_x,d_y,time
0,23,50,7,,,126.82079064655157,37.191991011210995,126.82210533570667,37.21072424912582,2024-10-24 07:00:02
1,37,51,7,,,126.82225765554884,37.1973401747564,126.81884118618989,37.21141158202592,2024-10-24 07:00:38
2,17,58,7,,,126.82563472293225,37.19713020706211,126.83563483506843,37.20922823150239,2024-10-24 07:00:47
3,59,33,7,,,126.83189084036555,37.2065638842984,126.82892668543768,37.20104935717495,2024-10-24 07:01:10
4,10,17,7,,,126.8164754988996,37.20852565281946,126.82652810957215,37.196973677699695,2024-10-24 07:02:02
5,56,41,7,,,126.83430745107285,37.20654214275838,126.8335405650185,37.19623671531342,2024-10-24 07:02:07
6,33,70,7,,,126.8291527232081,37.200904545885024,126.83786429863021,37.20970687387732,2024-10-24 07:02:42
7,70,11,7,,,126.83792545113273,37.21048811916094,126.813578470238,37.20865196810249,2024-10-24 07:03:06
8,54,33,7,,,126.832622161113,37.209683159582,126.82845992983579,37.20136525825361,2024-10-24 07:03:09
9,33,56,7,,,126.82939866378017,37.20082414344599,126.83402306025393,37.20613887041371,2024-10-24 07:03:59
10,11,32,7,,,126.81378170780339,37.207348782083976,126.83115880972352,37.20132528064898,2024-10-24 07:04:44
11,50,50,7,,,126.82322091588473,37.21239826264712,126.82270614912483,37.211746824495066,2024-10-24 07:04:46
12,32,11,7,,,126.83155618029761,37.20177481696139,126.81440437911488,37.208227962314965,2024-10-24 07:04:50
13,72,56,7,,,126.81222712428217,37.206295278153085,126.83555721031075,37.20583300736759,2024-10-24 07:04:52
14,23,50,7,,,126.82078541606215,37.19096442894621,126.82290057850281,37.210638938712115,2024-10-24 07:05:22
15,70,33,7,,,126.8371663602958,37.2088536434855,126.82831962482263,37.19981591260216,2024-10-24 07:05:32
16,10,56,7,,,126.81669808855777,37.2090562211007,126.83399563059396,37.20517196102739,2024-10-24 07:06:36
17,33,56,7,,,126.83031283831424,37.199766959523416,126.83584672222268,37.20631497446311,2024-10-24 07:06:41
18,32,59,7,,,126.83245565294656,37.20086773006993,126.83166618562909,37.20797896261901,2024-10-24 07:06:43
19,10,17,7,,,126.81779453624823,37.20969166131458,126.82624946308565,37.195943517906855,2024-10-24 07:06:59
20,19,10,7,,,126.8284630787015,37.19577586589683,126.81722811753569,37.209616161329464,2024-10-24 07:07:15
21,42,70,7,,,126.83231709664362,37.19526588087561,126.83790991377755,37.21034738644186,2024-10-24 07:07:38
22,58,19,7,,,126.83446061108958,37.20901423837448,126.82902355858361,37.19465690659635,2024-10-24 07:07:49
