idx,o,d,hour,o_h3,d_h3,o_x,o_y,d_x,d_y,time
0,34,21,7,,,126.82168534930157,37.20325213592432,126.81830264273461,37.195566608293674,2024-10-24 07:00:02
1,62,18,7,,,126.83904014073885,37.21227195465556,126.82286776078423,37.196681185486234,2024-10-24 07:00:38
2,33,56,7,,,126.8285433768634,37.201026349684874,126.8354104853073,37.20641249619321,2024-10-24 07:00:47
3,7,47,7,,,126.82676675409543,37.207218946655864,126.82764792552868,37.21105117339243,2024-10-24 07:02:02
4,58,64,7,,,126.83497152929992,37.20869741762279,126.84256212216442,37.20342082293664,2024-10-24 07:02:42
5,50,38,7,,,126.82246376457505,37.211658874256806,126.82328317882133,37.20181566356203,2024-10-24 07:03:59
6,17,54,7,,,126.82586141599758,37.19586128900891,126.8318314723784,37.20977225042105,2024-10-24 07:04:44
7,42,70,7,,,126.83110783838495,37.19614370539507,126.83789720106193,37.20951035829704,2024-10-24 07:04:50
8,37,51,7,,,126.82123272759377,37.196594910615296,126.8202158690782,37.20955781416715,2024-10-24 07:05:22
9,15,47,7,,,126.81647458080985,37.206240915956755,126.82661233628865,37.21037617766877,2024-10-24 07:06:36
10,50,37,7,,,126.82337793910912,37.21060169033423,126.8221987391817,37.19809565888132,2024-10-24 07:06:41
11,46,21,7,,,126.8306671085933,37.21104940030106,126.81779521926472,37.196944057864755,2024-10-24 07:06:43
12,6,52,7,,,126.82517704178117,37.20448853183814,126.83050284887847,37.21673349039372,2024-10-24 07:06:59
13,33,62,7,,,126.82891116296032,37.20140682000404,126.83826117228001,37.21263328260005,2024-10-24 07:07:15
14,33,56,7,,,126.82849609220177,37.20068483545172,126.83412802796882,37.2047371520438,2024-10-24 07:09:26
15,33,64,7,,,126.82863737144892,37.20041361056955,126.8433614248946,37.204160477853364,2024-10-24 07:10:26
16,19,10,7,,,126.82828520318014,37.19477519069139,126.81788348628824,37.20887221798383,2024-10-24 07:11:06
17,50,37,7,,,126.82227660126797,37.210880931492056,126.82081783695646,37.19726736699083,2024-10-24 07:13:04
18,63,67,7,,,126.83462236235914,37.211286199596834,126.83382198256061,37.20252524196403,2024-10-24 07:14:33
19,17,54,7,,,126.82616587189635,37.19750260757511,126.83334010927784,37.21010029509858,2024-10-24 07:15:53
20,56,17,7,,,126.83579192196258,37.20545047039558,126.82656345756129,37.196908991061875,2024-10-24 07:16:03
21,67,1,7,,,126.8339998935972,37.20256627847158,126.81652334540797,37.198744773528325,2024-10-24 07:16:40
22,50,37,7,,,126.82153014394905,37.212249485583314,126.82197268045208,37.19803964820062,2024-10-24 07:17:03
23,59,3,7,,,126.83288003116618,37.20678629599613,126.82463198290017,37.20924346654158,2024-10-24 07:17:48
24,33,56,7,,,126.829171141032,37.20115981048767,126.83463272259554,37.20580998514284,2024-10-24 07:17:56
25,15,42,7,,,126.81770109550932,37.20583391619541,126.83073637554378,37.19578858224568,2024-10-24 07:18:58
26,41,11,7,,,126.83434364337177,37.19623802379879,126.81334029293005,37.208434013545485,2024-10-24 07:23:04
27,38,59,7,,,126.82420399995759,37.201195912609094,126.83189704223867,37.20661978598903,2024-10-24 07:25:29
28,50,38,7,,,126.8217086484151,37.2123053994062,126.8239496917907,37.20032402319797,2024-10-24 07:27:22
29,45,69,7,,,126.82552245710136,37.21251568529772,126.83856258496428,37.207070444375034,2024-10-24 07:28:03
30,17,54,7,,,126.82735185097424,37.196842096424504,126.8327759696871,37.20995054324826,2024-10-24 07:31:21
31,24,22,7,,,126.81910867386752,37.19047145955705,126.81600673691302,37.19554213927438,2024-10-24 07:31:33
32,53,41,7,,,126.8291340873916,37.20545712122772,126.83458622543414,37.19738602549168,2024-10-24 07:34:40
33,37,51,7,,,126.82110702254754,37.19816846979333,126.81977325692525,37.209842985541094,2024-10-24 07:36:01
34,50,43,7,,,126.82321814843397,37.211454090709395,126.82238746929303,37.19012068642038,2024-10-24 07:39:52
35,33,56,7,,,126.82937250206761,37.201658025624845,126.83563028911259,37.20658507604818,2024-10-24 07:40:40
36,33,56,7,,,126.82967523580442,37.19998574686781,126.83467826433147,37.20583573735441,2024-10-24 07:42:50
37,4,64,7,,,126.82263870981147,37.20790771320828,126.8417956325904,37.20274326206567,2024-10-24 07:43:39
38,32,59,7,,,126.83152898610267,37.20166420842695,126.83257038383293,37.206871032612675,2024-10-24 07:43:53
39,19,22,7,,,126.82913614569499,37.194177633776306,126.81538245927578,37.195330419508736,2024-10-24 07:44:14
40,59,47,7,,,126.83236209670974,37.20766877917496,126.82839690397769,37.21170517259774,2024-10-24 07:45:51
41,25,11,7,,,126.82157370809699,37.19425690816712,126.8149695164401,37.20736900921176,2024-10-24 07:46:44
42,42,53,7,,,126.83100876742465,37.19637759907,126.83048170827014,37.207107738323245,2024-10-24 07:48:19
43,11,38,7,,,126.81441579421329,37.20855690219222,126.82434737964327,37.20076059368535,2024-10-24 07:48:52
44,33,56,7,,,126.82884105147892,37.20141748874512,126.83426603346918,37.20564409151905,2024-10-24 07:49:17
45,42,70,7,,,126.83169297004368,37.19698642163662,126.83838797204773,37.209484871351364,2024-10-24 07:49:22
46,38,47,7,,,126.82459474622115,37.201699447705465,126.82786880932208,37.21064512053432,2024-10-24 07:49:49
47,50,37,7,,,126.8217119963935,37.212197905144,126.82068824126553,37.19739488596206,2024-10-24 07:51:26
48,37,51,7,,,126.82158024831263,37.1966751247342,126.81902491866563,37.21131308648962,2024-10-24 07:52:16
49,33,56,7,,,126.82853737772461,37.20094770646152,126.83481617712077,37.205512449794284,2024-10-24 07:52:28
50,50,38,7,,,126.82281619072289,37.21161205032199,126.82376226392651,37.20062930609182,2024-10-24 07:53:28
51,50,38,7,,,126.8219498726302,37.21207077238876,126.82462985891036,37.201712895448466,2024-10-24 07:53:31
52,28,10,7,,,126.82907382719499,37.203112226517625,126.8178959965415,37.208760228026904,2024-10-24 07:54:57
53,42,70,7,,,126.83073953545001,37.19592951307843,126.83752732833233,37.20985749479777,2024-10-24 07:55:07
54,14,2,7,,,126.81998864293756,37.208342605895695,126.82177709218018,37.20518894739381,2024-10-24 07:55:15
55,17,54,7,,,126.82717652294215,37.19702691984059,126.83205646560506,37.20991674454618,2024-10-24 07:56:37
56,37,51,7,,,126.82073965128781,37.198037153320755,126.81982937863506,37.2099011323151,2024-10-24 07:56:46
57,29,10,7,,,126.82627873906803,37.202836346104945,126.8177795434206,37.209336724858716,2024-10-24 07:59:49
58,56,31,8,,,126.83485900239656,37.205132604381106,126.82823587772853,37.19854976102786,2024-10-24 08:03:09
59,42,70,8,,,126.83239242556945,37.1970131421274,126.83814550815167,37.20978584011863,2024-10-24 08:04:46
60,17,54,8,,,126.82717183223288,37.19592012796175,126.83276306900297,37.211001331636965,2024-10-24 08:07:38
61,1,44,8,,,126.81660109892576,37.19885670903305,126.82015332178852,37.188288837574895,2024-10-24 08:07:52
62,45,51,8,,,126.82466494993886,37.21302114448767,126.81951145056493,37.21003795845463,2024-10-24 08:08:30
63,58,33,8,,,126.83489915005411,37.20776031591815,126.82874217913164,37.19997139339752,2024-10-24 08:09:26
64,72,34,8,,,126.81248095039103,37.20785701340018,126.82177638514459,37.204015690710435,2024-10-24 08:11:16
65,33,56,8,,,126.82897864431331,37.201138911807874,126.835513199986,37.206504551065045,2024-10-24 08:12:14
66,19,10,8,,,126.82920005593986,37.19539896213377,126.8171299441511,37.209045619608965,2024-10-24 08:14:20
67,9,67,8,,,126.81350972690569,37.205877131284254,126.83421236773574,37.203095700211875,2024-10-24 08:14:22
68,42,70,8,,,126.83142299888793,37.19520416622289,126.83843175493854,37.20957936999587,2024-10-24 08:17:23
69,11,58,8,,,126.81420958227581,37.20758029726921,126.8352548931988,37.208869989495646,2024-10-24 08:17:52
70,37,15,8,,,126.8214538891771,37.19650011810587,126.81735952572132,37.20621433141915,2024-10-24 08:18:07
71,33,56,8,,,126.82933308472848,37.200368075122526,126.83559605203466,37.20600195552967,2024-10-24 08:19:03
72,56,31,8,,,126.83517461141965,37.20567382331278,126.82972706819923,37.19752066214944,2024-10-24 08:19:22
73,58,33,8,,,126.83591593132087,37.20935873381901,126.82975282129998,37.20089108750989,2024-10-24 08:21:39
74,33,56,8,,,126.82854495688112,37.20154425714501,126.83426586534047,37.20658372051499,2024-10-24 08:22:36
75,19,10,8,,,126.82945843372838,37.19583279173464,126.81780802638588,37.210059667503735,2024-10-24 08:24:53
76,46,33,8,,,126.83101629250788,37.21228281084345,126.82891617312656,37.200896812696264,2024-10-24 08:25:52
77,33,56,8,,,126.83003145988009,37.201410116430175,126.83554190291932,37.20508778672804,2024-10-24 08:26:06
78,70,17,8,,,126.83872559387608,37.21024642519988,126.82690065078424,37.19660768280686,2024-10-24 08:26:37
79,56,33,8,,,126.83522084573035,37.20513088817211,126.82981620233066,37.19967687250064,2024-10-24 08:27:16
80,46,24,8,,,126.83031950637175,37.212322591781295,126.81845948603467,37.19009622885952,2024-10-24 08:27:28
81,56,33,8,,,126.83506007150693,37.20641519311105,126.82908223031221,37.20110247469536,2024-10-24 08:28:17
82,58,33,8,,,126.83521830175025,37.20827385334146,126.82872794215645,37.20049733133257,2024-10-24 08:28:19
83,58,33,8,,,126.83567267101387,37.208237608227456,126.82835333729089,37.20155790693154,2024-10-24 08:28:40
84,39,6,8,,,126.8215072784335,37.20045132277442,126.82454585873276,37.20390552372998,2024-10-24 08:29:47
85,58,33,8,,,126.83506236594424,37.20772533281324,126.82943212395817,37.20072804663607,2024-10-24 08:31:09
86,33,56,8,,,126.82995534613936,37.20036509971325,126.83435457680253,37.20638556536468,2024-10-24 08:31:25
87,55,10,8,,,126.83090621346722,37.209699987276856,126.81732787860281,37.20981018523162,2024-10-24 08:32:18
88,71,34,8,,,126.83972767271995,37.20404670617142,126.8215167712238,37.203412530525455,2024-10-24 08:33:09
89,11,17,8,,,126.81514222934452,37.20775937582081,126.82667418834089,37.19587123802892,2024-10-24 08:33:21
90,58,33,8,,,126.83594678893016,37.20831213611584,126.82863258919251,37.20055761008852,2024-10-24 08:34:27
91,70,17,8,,,126.83861435589394,37.21013926564062,126.8259514900698,37.1967460991967,2024-10-24 08:37:16
92,53,27,8,,,126.82937018736817,37.20696434863584,126.827201060395,37.199005424104534,2024-10-24 08:37:24
93,1,43,8,,,126.81644304298773,37.197676041123444,126.82254229236236,37.190936294157694,2024-10-24 08:37:51
94,53,33,8,,,126.82969241385014,37.20660630954464,126.8287416761794,37.20055010246297,2024-10-24 08:41:24
95,1,6,8,,,126.81673046544432,37.19904499023954,126.8247284090532,37.204193014248496,2024-10-24 08:41:45
96,33,56,8,,,126.82897079727982,37.200052042441015,126.83584250791621,37.206371625177006,2024-10-24 08:45:03
97,42,70,8,,,126.8320347840127,37.19655425315375,126.8375471761427,37.2098807863076,2024-10-24 08:46:53
98,58,33,8,,,126.83423351623952,37.208494570103014,126.83001094607212,37.20016417942368,2024-10-24 08:47:30
99,58,33,8,,,126.8346765096834,37.20803011090385,126.82939457782246,37.2003052020012,2024-10-24 08:48:42
100,56,31,8,,,126.83452956863671,37.20511265649,126.82838492919466,37.19846341142777,2024-10-24 08:51:16
101,58,33,8,,,126.83508703893436,37.20861003529575,126.82891149868216,37.20155126617923,2024-10-24 08:52:15
102,58,33,8,,,126.83510227350338,37.209014004272795,126.82919401856395,37.20014427459199,2024-10-24 08:52:16
103,58,33,8,,,126.83568992028277,37.20922958501315,126.82992249308977,37.200103465137985,2024-10-24 08:52:34
104,11,17,8,,,126.81333300263026,37.20781049376461,126.82667984620088,37.197311878687636,2024-10-24 08:56:37
105,19,5,8,,,126.8289712393121,37.19477326072617,126.8261611068849,37.20507559014065,2024-10-24 08:56:58
106,58,33,8,,,126.83465146256617,37.208408003475775,126.82958959625097,37.20016026233938,2024-10-24 08:58:48
107,33,56,8,,,126.82881060785965,37.20113589794202,126.8353112860844,37.20496131497891,2024-10-24 08:58:59
108,28,42,8,,,126.83013811950285,37.20280632395571,126.83137547267772,37.1954694978961,2024-10-24 08:59:01
109,21,24,8,,,126.81881800422055,37.196155627622694,126.81898938919763,37.1900216553502,2024-10-24 08:59:42
110,33,56,9,,,126.82875746617836,37.19985188956547,126.83452114176838,37.20602649360354,2024-10-24 09:01:10
111,11,37,9,,,126.81372463261681,37.209156356782096,126.82056551135871,37.1964643637458,2024-10-24 09:02:07
112,38,53,9,,,126.82427556620911,37.20226830230347,126.82901499645556,37.206691733083055,2024-10-24 09:03:06
113,62,13,9,,,126.83862848898961,37.21147465968935,126.81721166212748,37.203897780427084,2024-10-24 09:04:52
114,55,45,9,,,126.8293341765565,37.20842663066541,126.82406965684764,37.21173176569944,2024-10-24 09:05:32
115,19,47,9,,,126.82819372073894,37.195590412529505,126.82768280486782,37.21046921377353,2024-10-24 09:07:49
116,58,33,9,,,126.83542834891605,37.20854777935955,126.82996753569672,37.20148260575479,2024-10-24 09:07:50
117,38,19,9,,,126.82379994416353,37.20176228110392,126.82976794423939,37.19552059088443,2024-10-24 09:08:14
118,11,58,9,,,126.8135546901443,37.20820425543856,126.83506314743612,37.209354168646556,2024-10-24 09:08:37
119,20,32,9,,,126.81605065802233,37.19159902919801,126.83120302838057,37.202000989512975,2024-10-24 09:13:32
120,54,33,9,,,126.83243264447685,37.21074486157324,126.82890897964245,37.20148279161961,2024-10-24 09:15:24
121,38,45,9,,,126.82377338345309,37.20104147457957,126.82431747132213,37.212997672933064,2024-10-24 09:15:31
122,33,56,9,,,126.82945397266678,37.20116673542802,126.8345815229479,37.20597929623384,2024-10-24 09:16:38
123,50,50,9,,,126.82290826106295,37.210737416799596,126.822960855832,37.211713148977665,2024-10-24 09:16:56
124,19,33,9,,,126.82820176740533,37.195568624953864,126.82981012468133,37.20088027785214,2024-10-24 09:17:29
125,63,50,9,,,126.8353450396571,37.21127537456297,126.82145909574066,37.21066139737898,2024-10-24 09:18:35
126,58,19,9,,,126.83504114212207,37.20886462971831,126.82971401120757,37.195409598597294,2024-10-24 09:19:18
127,62,67,9,,,126.83798062779769,37.212233690507674,126.83448941697081,37.20243540667519,2024-10-24 09:19:42
128,20,17,9,,,126.81648548149256,37.19259862969915,126.82728856064335,37.19652025416045,2024-10-24 09:21:17
129,32,59,9,,,126.83266068780746,37.20244993104181,126.83321090993262,37.2065511033934,2024-10-24 09:22:00
130,10,10,9,,,126.81776945708482,37.209013263435885,126.81791258535254,37.20889477557101,2024-10-24 09:22:18
131,33,56,9,,,126.8295065833933,37.20022509984044,126.83502031176396,37.20640313398346,2024-10-24 09:23:14
132,11,17,9,,,126.81346314799299,37.207705577648106,126.82548613572136,37.197684211447154,2024-10-24 09:23:53
133,1,48,9,,,126.81644226507147,37.1982610691703,126.83029205888124,37.21391176863144,2024-10-24 09:26:53
134,10,58,9,,,126.81617398957835,37.2088428054033,126.83521191756509,37.20749742117623,2024-10-24 09:28:46
135,70,42,9,,,126.83802616048104,37.21000859714531,126.83100873268846,37.195167122940234,2024-10-24 09:29:29
136,27,29,9,,,126.82690071295224,37.200506633869196,126.82726810326734,37.20305793218551,2024-10-24 09:29:35
137,28,23,9,,,126.82958183893692,37.20283359434368,126.82104525984363,37.1920940368701,2024-10-24 09:29:43
138,55,47,9,,,126.82992637441787,37.20949125875022,126.827101645182,37.20991241564509,2024-10-24 09:30:45
139,50,38,9,,,126.82151006104253,37.210728687956625,126.82432289058846,37.20130320556185,2024-10-24 09:32:36
140,46,10,9,,,126.8295794087572,37.211809112549176,126.81789230430635,37.2084410157741,2024-10-24 09:32:40
141,33,56,9,,,126.82867795309174,37.20136768853699,126.83550439442178,37.20506715899331,2024-10-24 09:33:44
142,23,50,9,,,126.81983873943585,37.19208820855018,126.82235977758228,37.21134063115686,2024-10-24 09:34:32
143,33,56,9,,,126.82848549930134,37.20156190801992,126.83488588540182,37.206083068621155,2024-10-24 09:35:16
144,28,63,9,,,126.8294680929863,37.20403060332225,126.83554239845654,37.21192589940558,2024-10-24 09:36:44
145,38,10,9,,,126.8245745581599,37.20098129503566,126.81651298446522,37.208880095193685,2024-10-24 09:37:34
146,23,50,9,,,126.82050784266613,37.192358392734796,126.82212051592474,37.211357269701644,2024-10-24 09:38:38
147,37,32,9,,,126.82136769257716,37.19716164461248,126.8329924886976,37.20143401951007,2024-10-24 09:39:42
148,54,33,9,,,126.83228264891319,37.21117353701477,126.8295335352019,37.200907837506506,2024-10-24 09:40:10
149,50,38,9,,,126.82167776934125,37.210607731823764,126.8237765192992,37.20144539163544,2024-10-24 09:46:51
150,38,22,9,,,126.82360161755528,37.200690012126145,126.81634200742766,37.1952305369291,2024-10-24 09:47:06
151,55,36,9,,,126.83051202366856,37.208310983628195,126.82347432609241,37.19875536240688,2024-10-24 09:50:31
152,33,56,9,,,126.82926645959898,37.20014643073661,126.83480507880729,37.20606660410589,2024-10-24 09:51:45
153,38,42,9,,,126.82373484568207,37.20136898617949,126.8309391190132,37.19531644537164,2024-10-24 09:51:53
154,23,38,9,,,126.82118195321385,37.19139628741305,126.82476130270872,37.20193076836856,2024-10-24 09:52:44
155,58,33,9,,,126.83531265864765,37.20904115009222,126.82870991180494,37.20127359422492,2024-10-24 09:53:46
156,2,25,9,,,126.82103243265085,37.20579302564916,126.82046040151023,37.194366550426665,2024-10-24 09:59:10
157,39,11,9,,,126.82068960760775,37.200744489419385,126.81389458990635,37.207281664123414,2024-10-24 09:59:17
158,50,37,10,,,126.82197648587184,37.21106619164174,126.82225855133359,37.19759747915599,2024-10-24 10:00:10
159,58,66,10,,,126.8356234237775,37.20927988850956,126.83817566571845,37.2045736193677,2024-10-24 10:03:20
160,38,62,10,,,126.82389240699382,37.20069487752406,126.83829404934143,37.21286826991843,2024-10-24 10:03:42
161,31,50,10,,,126.82873676884272,37.197479319952954,126.8221877242863,37.21244088312879,2024-10-24 10:06:00
162,54,33,10,,,126.83307967008321,37.21071421387983,126.82864700295087,37.19986679734501,2024-10-24 10:06:43
163,50,37,10,,,126.82255973503092,37.21150509597544,126.82200912741524,37.198163004337886,2024-10-24 10:08:37
164,66,51,10,,,126.8381766032897,37.204164437775724,126.81931253051559,37.21071207034799,2024-10-24 10:09:20
165,56,33,10,,,126.83406666640944,37.20498288659108,126.8295536941145,37.20140746206165,2024-10-24 10:12:17
166,58,33,10,,,126.83583975038657,37.209457401733125,126.82907700197273,37.199879089399204,2024-10-24 10:13:35
167,56,33,10,,,126.83507504396943,37.20563825379769,126.82959008263943,37.20013015975295,2024-10-24 10:16:26
168,28,27,10,,,126.82933924995267,37.20380648749549,126.82570293700067,37.200106058278884,2024-10-24 10:19:40
169,58,33,10,,,126.83498169734617,37.208736532006846,126.83000488122771,37.20016597931318,2024-10-24 10:20:25
170,56,32,10,,,126.83400071164547,37.20644976741705,126.83158596132161,37.2023387916521,2024-10-24 10:20:26
171,50,37,10,,,126.82278982993435,37.21198992397831,126.82103290417211,37.19804642151629,2024-10-24 10:21:43
172,25,5,10,,,126.8217525471306,37.19494860971733,126.82746479651652,37.20487562404205,2024-10-24 10:21:55
173,72,59,10,,,126.81099314729059,37.207670963803935,126.83252646308257,37.206642097192784,2024-10-24 10:22:18
174,51,37,10,,,126.81948963139546,37.21066590793125,126.8209178778451,37.196584234352315,2024-10-24 10:23:06
175,58,33,10,,,126.8361184635565,37.208608278462485,126.83027016234658,37.20025624437213,2024-10-24 10:24:30
176,56,33,10,,,126.83439712457249,37.20550429286866,126.82967787412012,37.20048988636231,2024-10-24 10:25:35
177,50,37,10,,,126.82320025752769,37.21069993707066,126.82054905749906,37.196454298906986,2024-10-24 10:30:03
178,70,33,10,,,126.8375484556652,37.20860625836123,126.83013352900205,37.1999286064772,2024-10-24 10:30:05
179,56,33,10,,,126.83392752457102,37.205153572709264,126.83011669222462,37.201275049018314,2024-10-24 10:31:22
180,47,4,10,,,126.82701289721496,37.21180762519953,126.82192278083845,37.20878758122571,2024-10-24 10:32:56
181,50,37,10,,,126.82227246895839,37.21223103486458,126.82092562657856,37.19739228648226,2024-10-24 10:33:25
182,46,38,10,,,126.82979440453694,37.21279348107277,126.82399982896139,37.20173053570112,2024-10-24 10:34:01
183,32,59,10,,,126.83100152790458,37.202396359128315,126.83237160025458,37.20811651256593,2024-10-24 10:35:07
