idx,o,d,hour,o_h3,d_h3,o_x,o_y,d_x,d_y,time
0,26,17,7,,,126.81833035564587,37.193725579746825,126.82613158098064,37.19599337569224,2024-10-24 07:00:02
1,38,51,7,,,126.82516575715722,37.20123628348651,126.81884118618989,37.21141158202592,2024-10-24 07:00:38
2,23,38,7,,,126.8200425386215,37.19215368886258,126.82467060387471,37.20208928934153,2024-10-24 07:00:47
3,11,55,7,,,126.81379123303887,37.20744452379639,126.83010903958572,37.209316553936745,2024-10-24 07:02:02
4,70,21,7,,,126.83721745456387,37.21043875276417,126.81788144589181,37.19538363287767,2024-10-24 07:02:07
5,37,51,7,,,126.82109919649781,37.19766236673182,126.81974023017875,37.210586733708794,2024-10-24 07:02:42
6,51,37,7,,,126.81964493743612,37.209909074218366,126.8204064031255,37.198123079100405,2024-10-24 07:03:09
7,37,33,7,,,126.82134513706988,37.19758196429279,126.82842860392323,37.201161733985124,2024-10-24 07:03:59
8,18,54,7,,,126.82317703589334,37.19478064135784,126.8318314723784,37.20977225042105,2024-10-24 07:04:44
9,50,64,7,,,126.82322091588473,37.21239826264712,126.84284333168588,37.20349978917795,2024-10-24 07:04:46
10,33,21,7,,,126.82887122790535,37.20069409510398,126.81865514906303,37.19631370184133,2024-10-24 07:04:50
11,26,38,7,,,126.81832512515645,37.19269899748204,126.82469005260603,37.20045813747821,2024-10-24 07:05:22
12,18,32,7,,,126.82340915078699,37.195406951351494,126.83108612665552,37.201275546456216,2024-10-24 07:06:36
13,37,4,7,,,126.82225931160396,37.19652478037021,126.82309360132652,37.20935710624211,2024-10-24 07:06:41
14,34,26,7,,,126.82216456506241,37.202175472103555,126.8175716822943,37.194128875599624,2024-10-24 07:06:43
15,10,37,7,,,126.81779453624823,37.20969166131458,126.8211045903065,37.196597481376415,2024-10-24 07:06:59
16,23,50,7,,,126.82041032471842,37.19253415918175,126.82259731459517,37.211778412664906,2024-10-24 07:07:15
17,50,7,7,,,126.8231455869589,37.21065100139533,126.82739261288705,37.20883941331926,2024-10-24 07:07:38
18,70,50,7,,,126.83714626481948,37.21009511307109,126.82253674363731,37.211122591514375,2024-10-24 07:07:49
19,39,50,7,,,126.82196926568213,37.201018330481816,126.82194288671522,37.210811409494724,2024-10-24 07:07:52
20,50,72,7,,,126.82198001870873,37.211940022201205,126.81145865296695,37.206794571398476,2024-10-24 07:08:30
21,70,26,7,,,126.83704751209136,37.20948665142063,126.81828321219669,37.19442320462233,2024-10-24 07:08:37
22,23,18,7,,,126.81999525395987,37.191812174629426,126.82294053760273,37.194783225341375,2024-10-24 07:09:26
23,55,50,7,,,126.82975262004472,37.20841417779467,126.82180727992652,37.21080612420833,2024-10-24 07:09:26
24,23,50,7,,,126.82013653320702,37.19154094974726,126.82322424233354,37.21240751317048,2024-10-24 07:10:26
