idx,o,d,hour,o_h3,d_h3,o_x,o_y,d_x,d_y,time
0,23,37,7,,,126.82079064655157,37.191991011210995,126.8209867082015,37.1966473391618,2024-10-24 07:00:02
1,37,18,7,,,126.82225765554884,37.1973401747564,126.82286776078423,37.196681185486234,2024-10-24 07:00:38
2,21,38,7,,,126.81780578468621,37.196703439663544,126.82467060387471,37.20208928934153,2024-10-24 07:00:47
3,68,18,7,,,126.83927403887688,37.20135895112725,126.8233336514023,37.196072566901115,2024-10-24 07:01:10
4,4,55,7,,,126.82162093059874,37.20787244155167,126.83010903958572,37.209316553936745,2024-10-24 07:02:02
5,55,68,7,,,126.82938527082457,37.21001173994408,126.83913561076751,37.201213604460776,2024-10-24 07:02:07
6,34,21,7,,,126.8215465877162,37.20329300977606,126.8186222466313,37.19651021742162,2024-10-24 07:02:42
7,70,71,7,,,126.83792545113273,37.21048811916094,126.83930797261847,37.20538349131735,2024-10-24 07:03:06
8,50,60,7,,,126.82232964686074,37.210990198763334,126.8320418057214,37.21370868706834,2024-10-24 07:03:09
9,33,21,7,,,126.82939866378017,37.20082414344599,126.81769101174605,37.196838823963795,2024-10-24 07:03:59
10,12,63,7,,,126.81870320813034,37.20388031044179,126.83451703317225,37.210853206135944,2024-10-24 07:04:44
11,50,37,7,,,126.82322091588473,37.21239826264712,126.82158752161966,37.19766991453105,2024-10-24 07:04:46
12,26,17,7,,,126.81791009875775,37.193556002817516,126.82648408730907,37.1967404692399,2024-10-24 07:04:50
13,23,38,7,,,126.82078541606215,37.19096442894621,126.82469005260603,37.20045813747821,2024-10-24 07:05:22
14,10,71,7,,,126.81669808855777,37.2090562211007,126.8391423145184,37.20451769826597,2024-10-24 07:06:36
15,28,58,7,,,126.83053691037986,37.20258249708056,126.83607107198381,37.20913070977229,2024-10-24 07:06:41
16,26,48,7,,,126.8188095714067,37.19264891592606,126.82965337140641,37.215345058728836,2024-10-24 07:06:43
17,2,13,7,,,126.82271622251929,37.2062230277359,126.81640702516421,37.2028815700177,2024-10-24 07:06:59
18,21,72,7,,,126.81817357078315,37.19708390998271,126.81185980757257,37.207453901063786,2024-10-24 07:07:15
19,38,51,7,,,126.82493506106212,37.20047020016142,126.8197858453261,37.21122724627333,2024-10-24 07:07:38
20,57,67,7,,,126.83155095830085,37.205117704774686,126.8348417693975,37.2024493021333,2024-10-24 07:07:49
21,37,51,7,,,126.8217455800351,37.19820302912517,126.8192581772906,37.20973028494976,2024-10-24 07:07:52
22,70,50,7,,,126.83744982908715,37.20998209796139,126.8232811292931,37.21198627580245,2024-10-24 07:08:14
23,50,37,7,,,126.82198001870873,37.211940022201205,126.82107753248438,37.19704217303558,2024-10-24 07:08:30
24,57,8,7,,,126.83145220557273,37.20450924312423,126.82454660492209,37.2078461076437,2024-10-24 07:08:37
25,21,33,7,,,126.8177585000246,37.19636192543039,126.82853357163812,37.19976001561521,2024-10-24 07:09:26
26,51,37,7,,,126.81946073533256,37.209721050446234,126.82068865242135,37.196729214244314,2024-10-24 07:09:26
27,23,19,7,,,126.82013653320702,37.19154094974726,126.82971105727984,37.19594182825246,2024-10-24 07:10:26
28,17,50,7,,,126.82582463350782,37.196510002175835,126.82325268334772,37.21103446931927,2024-10-24 07:11:06
29,54,71,7,,,126.83351097166589,37.210874485819964,126.84012366089162,37.20595010048656,2024-10-24 07:11:16
30,40,71,7,,,126.83099111378571,37.193773026838905,126.84065988391043,37.20585028830362,2024-10-24 07:12:14
31,26,65,7,,,126.81825037132549,37.19290810839478,126.83401718042899,37.19985533289809,2024-10-24 07:13:04
32,58,11,7,,,126.83551430830111,37.207610647557814,126.81352971386298,37.20851161810786,2024-10-24 07:13:32
33,39,26,7,,,126.82181829913543,37.20060303844443,126.8184729112681,37.19323504784713,2024-10-24 07:14:20
34,37,51,7,,,126.82066794129179,37.19785882808544,126.81922263255095,37.21068786504798,2024-10-24 07:14:22
35,37,19,7,,,126.82052565980787,37.19743537309925,126.82800377174672,37.19473284642708,2024-10-24 07:14:33
