idx,o_x1,o_y1,d_x2,d_y2,d_t,time,,,,,
26652,127.8690869,36.969052,127.8727211,36.9669116,5:14:00,5:12:00,,,,,
26653,127.8722973,36.97389572,127.870064,36.968232,9:02:00,5:43:00,,,,,
26654,127.873764,36.969036,127.8711702,36.96478395,6:32:00,6:29:00,,,,,
26655,127.8727649,36.9668792,127.8708059,36.9634811,7:11:00,7:08:00,,,,,
26656,127.8712764,36.96476351,127.871751,36.97384976,8:15:00,8:09:00,,,,,
26657,127.8717397,36.9737151,127.8732688,36.9689346,8:22:00,8:18:00,,,,,
26658,127.8717414,36.9736816,127.8717237,36.9708975,8:23:00,8:20:00,,,,,
26659,127.8733749,36.9735031,127.8690994,36.9690564,8:24:00,8:21:00,,,,,
26660,127.8709174,36.96347348,127.8714562,36.96993291,8:24:00,8:21:00,,,,,
26661,127.8719146,36.9709159,127.8741717,36.9705362,8:28:00,8:24:00,,,,,
26662,127.8734312,36.973487,127.8713447,36.9698353,8:30:00,8:27:00,,,,,
26663,127.8723796,36.97405984,127.8714239,36.9699354,8:34:00,8:31:00,,,,,
26664,127.8723652,36.97403565,127.871382,36.96992312,8:36:00,8:34:00,,,,,
26665,127.8723163,36.97403477,127.8690739,36.96907368,8:38:00,8:35:00,,,,,
26666,127.8714178,36.96984879,127.871191,36.96533106,8:40:00,8:37:00,,,,,
26667,127.8714333,36.96994917,127.8734353,36.97349111,8:44:00,8:41:00,,,,,
26668,127.8734842,36.973519,127.8691399,36.9690665,8:45:00,8:43:00,,,,,
26669,127.8718268,36.9737236,127.8740268,36.9679027,8:49:00,8:43:00,,,,,
26670,127.8717475,36.97372566,127.871345,36.96982963,8:47:00,8:44:00,,,,,
26671,127.871732,36.9737683,127.8691335,36.9690664,8:49:00,8:45:00,,,,,
26672,127.8717389,36.97376565,127.8739932,36.96792751,8:50:00,8:45:00,,,,,
26673,127.8733899,36.973503,127.8728515,36.96754,8:49:00,8:46:00,,,,,
26674,127.8718349,36.97363386,127.8704024,36.96831496,8:50:00,8:46:00,,,,,
26675,127.8718201,36.97381585,127.8700663,36.96833639,8:51:00,8:47:00,,,,,
26676,127.8712586,36.9651737,127.8714298,36.9698445,8:51:00,8:48:00,,,,,
26677,127.8690962,36.96890152,127.8700816,36.97191939,8:51:00,8:48:00,,,,,
26678,127.873358,36.9689716,127.8718743,36.9737502,8:53:00,8:49:00,,,,,
26679,127.874044,36.9679293,127.8742243,36.9705719,8:56:00,8:52:00,,,,,
26680,127.8729019,36.9675267,127.8742166,36.9705359,8:56:00,8:52:00,,,,,
26681,127.8717944,36.9737333,127.87138,36.9697994,8:55:00,8:53:00,,,,,
26682,127.8713986,36.9699427,127.8719236,36.9719728,8:57:00,8:54:00,,,,,
26683,127.8713607,36.96977425,127.8719237,36.97201295,8:57:00,8:55:00,,,,,
26684,127.8704728,36.96831228,127.8700653,36.97191493,8:59:00,8:56:00,,,,,
26685,127.8700988,36.96832106,127.8728056,36.97283027,9:01:00,8:57:00,,,,,
26686,127.8735053,36.9735534,127.8733746,36.973528,8:58:00,8:58:00,,,,,
26687,127.8724284,36.97406283,127.8742444,36.97056551,9:02:00,8:59:00,,,,,
26688,127.8718474,36.97390013,127.870138,36.96831338,9:04:00,8:59:00,,,,,
26689,127.871844,36.9736788,127.8718486,36.9738035,9:00:00,8:59:00,,,,,
26690,127.8717916,36.973788,127.8700308,36.9682612,9:04:00,9:00:00,,,,,
26691,127.8717391,36.97386306,127.8740192,36.96792463,9:04:00,9:00:00,,,,,
