idx,o_x1,o_y1,d_x2,d_y2,d_t,time,,,,
36790,127.8723587,36.97401,127.8718153,36.9708823,5:07:00,5:04:00,,,,
36791,127.8712128,36.96505332,127.8717966,36.97092338,5:42:00,5:39:00,,,,
36792,127.8727326,36.9668617,127.8700752,36.9683726,6:05:00,6:03:00,,,,
36793,127.8735055,36.97342188,127.871365,36.96701874,6:44:00,6:41:00,,,,
36794,127.8717922,36.97373108,127.872732,36.96679676,7:08:00,7:02:00,,,,
36795,127.8733939,36.9735054,127.8726689,36.9667794,7:20:00,7:17:00,,,,
36796,127.8713165,36.9652867,127.8723987,36.9740661,7:23:00,7:18:00,,,,
36797,127.8711065,36.96492874,127.8718871,36.97384864,7:31:00,7:25:00,,,,
36798,127.8724082,36.9740935,127.8708925,36.9638178,7:40:00,7:36:00,,,,
36799,127.873535,36.97340634,127.8712134,36.96489759,7:47:00,7:44:00,,,,
36800,127.8717642,36.9708561,127.8723909,36.9741094,7:56:00,7:53:00,,,,
36801,127.8716687,36.9709106,127.8723082,36.9740887,8:24:00,8:16:00,,,,
36802,127.8702064,36.9683435,127.8718234,36.973801,8:44:00,8:39:00,,,,
36803,127.8691584,36.96913806,127.8711563,36.96517624,8:46:00,8:43:00,,,,
36804,127.8718085,36.9737958,127.8712316,36.9652984,9:03:00,9:00:00,,,,
36805,127.8723715,36.9740579,127.8708305,36.963745,9:18:00,9:14:00,,,,
36806,127.8718393,36.973729,127.8701577,36.9682972,9:37:00,9:34:00,,,,
36807,127.8709741,36.963811,127.8717423,36.9737533,9:45:00,9:40:00,,,,
36808,127.8710806,36.96374572,127.8718216,36.97393898,9:47:00,9:41:00,,,,
36809,127.8717712,36.9737571,127.8718116,36.9709457,9:44:00,9:42:00,,,,
36810,127.8723863,36.9740566,127.871296,36.965344,10:13:00,9:59:00,,,,
36811,127.8690839,36.96926592,127.8713245,36.96512074,10:06:00,10:04:00,,,,
36812,127.8727198,36.96686685,127.8734463,36.9735084,10:57:00,10:51:00,,,,
36813,127.8727733,36.9668465,127.8727873,36.9667342,10:57:00,10:52:00,,,,
36814,127.8724057,36.9740028,127.8701287,36.9718785,10:58:00,10:56:00,,,,
36815,127.8734582,36.97353445,127.8712139,36.96527345,11:00:00,10:56:00,,,,
36816,127.8700792,36.9719038,127.8723085,36.9739764,11:15:00,10:58:00,,,,
