idx,o,d,hour,o_h3,d_h3,o_x,o_y,d_x,d_y,time,pickup_time,dropoff_time
0,71,34,7,8930e038a0bffff,8930e039d17ffff,126.8410244074143,37.20620702903305,126.82097855680809,37.203846841343136,2024-10-24 07:00:34,2024-10-24 07:00:34,2024-10-24 07:05:34.000000000
1,50,37,7,8930e038e4fffff,8930e039d0bffff,126.82231178570336,37.2112660086831,126.82157838014076,37.19842301905378,2024-10-24 07:01:53,2024-10-24 07:01:53,2024-10-24 07:06:53.000000000
2,50,6,7,8930e038e4fffff,8930e039dabffff,126.82237537318804,37.211429475524056,126.82332995061448,37.204166667431096,2024-10-24 07:01:56,2024-10-24 07:01:56,2024-10-24 07:06:56.000000000
3,7,17,7,8930e039da7ffff,8930e039d77ffff,126.82635394027773,37.208286247764754,126.82727356518028,37.19619926028622,2024-10-24 07:02:16,2024-10-24 07:02:16,2024-10-24 07:07:59.907058300
4,26,17,7,8930e039d43ffff,8930e039d77ffff,126.81807177425912,37.19404653148678,126.82554619491772,37.196742816410605,2024-10-24 07:02:19,2024-10-24 07:02:19,2024-10-24 07:07:19.000000000
5,51,50,7,8930e038e4bffff,8930e038e4fffff,126.8192677377654,37.21118765733351,126.82280967471256,37.21166767989951,2024-10-24 07:02:30,2024-10-24 07:02:30,2024-10-24 07:07:30.000000000
6,21,72,7,8930e039d57ffff,8930e038367ffff,126.8182150055479,37.19533512588061,126.8122000519425,37.20577579579359,2024-10-24 07:02:57,2024-10-24 07:02:57,2024-10-24 07:11:30.924520691
7,51,26,7,8930e038e4bffff,8930e039d43ffff,126.81977644623224,37.211502303272226,126.81685052430308,37.1937762464565,2024-10-24 07:04:13,2024-10-24 07:04:13,2024-10-24 07:09:13.000000000
8,51,21,7,8930e038e4bffff,8930e039d57ffff,126.82038225757984,37.210305760297544,126.81848475100124,37.19670549471427,2024-10-24 07:04:17,2024-10-24 07:04:17,2024-10-24 07:17:06.964355450
9,34,21,7,8930e039d17ffff,8930e039d57ffff,126.82259939159832,37.20390845149515,126.81821964627882,37.19687883758384,2024-10-24 07:06:03,2024-10-24 07:06:03,2024-10-24 07:11:03.000000000
