metric_name,value,timestamp,request,request_id,rejection_reason,rejection_time,vehicle_id,assignment_time,request_origin,request_destination,origin_stop,destination_stop,estimated_pickup_time,estimated_dropoff_time,waiting_time_mins,in_vehicle_time_mins,passenger_id,origin,stop_id,destination
request.received,1.0,2024-10-24 07:00:34,"{'_version': '1.0', 'assignment_id': None, 'constraints': None, 'destination': {'id': '7654f0a3-cfd0-442e-a5f8-50e6a7b71f47', 'lat': 37.203846841343136, 'lon': 126.82097855680809}, 'estimated_price': None, 'id': 'R1', 'origin': {'id': '6de0568e-8b33-4f5d-b1b6-62d76ec1646a', 'lat': 37.20620702903305, 'lon': 126.8410244074143}, 'passenger_id': 'P1', 'request_time': '2024-10-24T07:00:34', 'status': 'pending', 'type': 'immediate'}",,,,,,,,,,,,,,,,,
request.rejected,1.0,2024-10-24 07:00:36,,R1,no_viable_destination_stops,2024-10-24T07:00:36,,,,,,,,,,,,,,
request.received,1.0,2024-10-24 07:01:56,"{'_version': '1.0', 'assignment_id': None, 'constraints': None, 'destination': {'id': 'c34e35e9-4c1d-4a91-b606-9aed90d5fbd7', 'lat': 37.204166667431096, 'lon': 126.82332995061448}, 'estimated_price': None, 'id': 'R2', 'origin': {'id': '3e25a36f-3aba-4f03-a83d-64c27f39be80', 'lat': 37.211429475524056, 'lon': 126.82237537318804}, 'passenger_id': 'P2', 'request_time': '2024-10-24T07:01:56', 'status': 'pending', 'type': 'immediate'}",,,,,,,,,,,,,,,,,
request.assigned,1.0,2024-10-24 07:01:59,,R2,,,vehicle_0,2024-10-24T07:01:59,"{'id': '345c63a9-2365-4318-bffc-96fec2a28b53', 'lat': 37.21141554, 'lon': 126.8222724}","{'id': 'c8d2dcdf-014c-42f5-b360-2c9c3b3a841a', 'lat': 37.20422306, 'lon': 126.8231918}","{'id': '345c63a9-2365-4318-bffc-96fec2a28b53', 'lat': 37.21141554, 'lon': 126.8222724}","{'id': 'c8d2dcdf-014c-42f5-b360-2c9c3b3a841a', 'lat': 37.20422306, 'lon': 126.8231918}",2024-10-24T07:03:58.921472,2024-10-24T07:06:23.478263,1.4367864333333331,4.507971039254613,,,,
request.received,1.0,2024-10-24 07:02:30,"{'_version': '1.0', 'assignment_id': None, 'constraints': None, 'destination': {'id': '85f0d43f-eb8b-439c-970f-a587d4104ed7', 'lat': 37.21166767989951, 'lon': 126.82280967471256}, 'estimated_price': None, 'id': 'R3', 'origin': {'id': '62d32693-0331-419f-8db7-8c8566d89584', 'lat': 37.21118765733351, 'lon': 126.8192677377654}, 'passenger_id': 'P3', 'request_time': '2024-10-24T07:02:30', 'status': 'pending', 'type': 'immediate'}",,,,,,,,,,,,,,,,,
request.assigned,1.0,2024-10-24 07:02:33,,R3,,,vehicle_1,2024-10-24T07:02:33,"{'id': '5df48ffa-1acf-4cd3-944a-01f37ce404dd', 'lat': 37.21037107, 'lon': 126.8194725}","{'id': '345c63a9-2365-4318-bffc-96fec2a28b53', 'lat': 37.21141554, 'lon': 126.8222724}","{'id': '5df48ffa-1acf-4cd3-944a-01f37ce404dd', 'lat': 37.21037107, 'lon': 126.8194725}","{'id': '345c63a9-2365-4318-bffc-96fec2a28b53', 'lat': 37.21141554, 'lon': 126.8222724}",2024-10-24T07:03:53.974515,2024-10-24T07:04:36.556856,0.7876704833333333,2.159280943732379,,,,
passenger.walk_time_to_origin_stop,35.714285714285715,2024-10-24 07:02:36,,R2,,,,,,,"{'id': '345c63a9-2365-4318-bffc-96fec2a28b53', 'lat': 37.21141554, 'lon': 126.8222724}",,,,,,P2,"{'capacity': 10.0, 'capacity_exceeded': False, 'congestion_level': 'low', 'created_at': '2025-03-05T17:32:42.759777', 'current_load': 0.0, 'id': 'aa733a41-8914-4d70-970f-c65b38db0bca', 'location': {'id': '345c63a9-2365-4318-bffc-96fec2a28b53', 'lat': 37.21141554, 'lon': 126.8222724}, 'metadata': {'area_id': 'area_3721_12682', 'creation_time': '2024-10-24T07:01:57', 'selection_method': 'coverage_based', 'type': 'origin', 'virtual': True}, 'status': 'active', 'type': 'virtual', 'updated_at': '2025-03-05T17:32:42.759778'}",,
passenger.walk_time_to_origin_stop,35.714285714285715,2024-10-24 07:03:10,,R3,,,,,,,"{'id': '5df48ffa-1acf-4cd3-944a-01f37ce404dd', 'lat': 37.21037107, 'lon': 126.8194725}",,,,,,P3,"{'capacity': 10.0, 'capacity_exceeded': False, 'congestion_level': 'low', 'created_at': '2025-03-05T17:32:43.174262', 'current_load': 0.0, 'id': '0765351c-1628-44dd-af4e-8bb0447ab058', 'location': {'id': '5df48ffa-1acf-4cd3-944a-01f37ce404dd', 'lat': 37.21037107, 'lon': 126.8194725}, 'metadata': {'area_id': 'area_3721_12681', 'creation_time': '2024-10-24T07:02:31', 'selection_method': 'coverage_based', 'type': 'origin', 'virtual': True}, 'status': 'active', 'type': 'virtual', 'updated_at': '2025-03-05T17:32:43.174263'}",,
vehicle.empty_distance,682.8477125258917,2024-10-24 07:03:55,,,,,vehicle_1,,,,,,,,,,,,,
vehicle.stops_served,1.0,2024-10-24 07:03:55,,,,,vehicle_1,,,,,,,,,,,,,
